"Name","Stage","Soundcloud","Description"
"Miranda Myles","The Illustrious Society","undefined","Miranda Myles is a
singer songwriter hailing from Blackburn, Lancashire. Growing up listening to
the likes of Soul legends and Disco divas including Aretha Franklin, Jocelyn
Brown, Etta James and Mary J Blige, has inspired her to explore many different
genres in her performing and writing from Disco/Funk to House."
"Mother Maimuna's Tea Time Disco ","The Parish Church","undefined","*"
"Mr Chukkel","Sunrise","http://www.soundcloud.com/mrchukkel","Mr Chukkel has been DJ’ing since 1996 and played his first festival back in 2008, since becoming a well-known face in the PSY-Trance festival and party scene . As well as PSY-Trance he likes to mix things up with some bouncy Tech-House, Deep Techno and Electro-Swing. Whatever he plays be sure to bring your dancing shoes."
"Mr Toad","Sunrise","undefined","

Playing the latest Psy-trance hits from a lily pad near
you..."
"Mr Whippy","The Perfumed Garden","undefined","DJ Mr Whippy is a long standing member of the Cloudspotting team and now a Perfumed Garden regular. He brings his box of 'happy tunes' across the Ribble Valley hills to Beat-Herdershire! Reggae, funk, house.... anything goes!"
"Muddy Feet","The Parish Church","https://soundcloud.com/muddy_feetuk","*"
"Natalie George","The Snug","undefined","Doing a special set for The Snug this year . Fantastic Dj and local legend . Definitely a ' were you there ' moment"
"Noctem","Stumblefunk","https://soundcloud.com/noctemavant","Man of many names, genres and personalities Ryan Sewell is known as Noctem when he's in a drum and bass kinda mood. Just go with it! Wobble your box off at Stumblefunk."
"Our Mate Ross","The Launderette","undefined","Expect an eclectic selection of the most uplifting and feel good tracks; from disco to acid house, techno to electronica and everything in between.                                               "
"Pat Butcher","The Launderette","undefined","East Enders meets punk                                                     "
"Paul Verity","The Snug","undefined","Burnley boy Paul has been mixing for a good twenty years now and has been bouncing around the local scene DJing out and about and promoting nights as well as mixing just for the sheer pleasure of it. He's got everything from funky breaks to drum and bass and hip-hop. A veritable labour of love you're sure to appreciate."
"Pope Preston ","The Parish Church","undefined","From the Vatican of Hell, our special pope is here to subject the congregation to his special selections."
"Problems in the Mix","The Launderette","undefined","*"
"Prof P (Freedom Masses)","Bushrocker Hi-Fi","undefined","Professor P: operator of Freedom Masses Sound System, Manchester's original dub advertiser and owner of Jungle Studio, the home and laboratory of Dub Scientist. Part of the Bushrocker family, he has helped to upgrade and maintain the soundsystem in recent years, and is renowned for his high energy stepping style."
"Prognosis","Sunrise","undefined","Geordie national treasure Craig (Aka Cosmouse) returns to the fields to spread some vintage cheese and in-date cream crackers.  "
"Psychederek Dj set","The Parish Church","https://soundcloud.com/psychederekmusic","From the intergalactic region of Stretford comes Psychederek, a project born from the mind of Lewis Olsen. His music takes influence from alternative rock and electronic dance music finished with a sprinkling of mind bending psychedelia. Psychederek blends live instruments such as guitars and acoustic drums with electronic music to create a unique fusion of sounds. The result is dreamy and ambient, but also weighty and hard hitting."
"Quality Tom","The Perfumed Garden","undefined","Quality Tom has been an intimate part of the UK festival and party scene since the late 80s. Influenced by DIY, Smokescreen and Deep Cartel soundsystems, Tom discovered a love of underground house music. His sets are crafted to make you smile and get your groove on with tunes ranging from deep to disco, tech to funky. Quality!                                                                          "
"Raw's Religion ","The Parish Church","undefined","Raw's religion - blowing off the Church roof! Prepare to put your hands in your pockets for the collection to buy a new one!                                                                  "
"Red Tin Dave","The Perfumed Garden","undefined","A founder member of The Perfumed Gardeners, Dave will be DJing from his trademark Red Tin. Expect to hear Americana, psych, motorik, funk, Dave-core and other imaginary genres!"
"Rhys Withoutaspoon ","The Snug","undefined","Rhys is a great party DJ and we can't wait for his exclusive set for us at The Snug!                                                                               "
"Rose Greenwood","The Snug","undefined","Rose is a singer and instrumentalist who has stepped behind the decks and dived seamlessly and headfirst into the North's stomping DJ scene. Mixing funky and classic house with breakbeat, she sets a bold and energetic vibe.                                                                          "
"Sam Flanagan","The Illustrious Society","undefined","Sam is multi-genre DJ and turntablist specialising in soul,
funk, disco, hip hop, house and indie. The Guardian named him Lancashire's
answer to '2 Many DJs' and DJ Yoda describe him as, 'The hot UK mixtape name'
in Hip Hop Connection magazine. Sam has most recently produced mixes for BBC
Radio 1, BBC Sounds and BBC 6 Music. Christian Carlisle from BBC Introducing
named him one of the best multi-genre DJs in the country. Sam produces music
under various aliases and has scored number one spots on Juno Download and the
like, culminating in his tracks being played by artists such as Purple Disco
Machine and Dr Packer at Space Ibiza. "
"Samurai Breaks b2b Selectah Syntax","Stumblefunk","https://soundcloud.com/samuraibreaks","Starship cruising, Crime fighting duo Samurai Breaks and Selectah Syntax team up to save the galaxy once again! Fighting the forces of corruption (and deep house) with their limitless collection of jungle techno and hardcore rave bangers, these two will be hot-wiring the warp drive and sending your jaws into hyper space"
"Sinning with Sliced Tomatoes","The Parish Church","undefined","*"
"Sister Lucifer's Tea Time Disco","The Parish Church","undefined","From the Vatican of Hell, our special pope is here to subject the congregation to his special selections of satanic sounds!!!!                                                "
"Sister Sammy's Tea Time Disco","The Parish Church","undefined","*"
"Skank Marvin","The Perfumed Garden","undefined","Skank til you stank with Skank Marvin (AKA Gary Ward) - expect an eclectic and uplifting selection of tunes from across the globe. The journey can go in any direction from Darwen to Darwin and from India to the West Indies!"
"Snug Allstars","The Snug","undefined","Things are about to get all warm, cosy and intimate in the fond embrace of The Snug team. Sidle up to a dance partner and snuggle the time away with their laid-back mix of soul, funk, and a few surprises to boot (is that a tent peg in your pocket?)"
"Sprechen's Satanic Sticky Heat Seance","The Parish Church","https://soundcloud.com/wearestickyheat","featuring Psychederek, Massey, Marco Giannini and Muddy Feet"
"Stee Bowden","The Perfumed Garden","undefined","Prepare to be immersed in a mesmerizing soundscape of mind-bending psychedelic edits that will transport you on a second-class voyage to the cosmos, all while ensuring the rhythm keeps you grounded on the dancefloor. The path ahead will be unpredictable. Watch your feet, trip hazard ahead."
"Steve Shaw","BH&DWMSC","undefined","Steve Shaw our in house club keyboard player, tickling the ivories, your eardrums and maybe even your toes."
"Techno Hippie","Sunrise","http://www.soundcloud.com/mrchukkel/005-sunrise-un-normal-service","Sunrise promotor and DJ Chris Techno Hippie puts on his swinging pant, whips out his best tunes and serves them up hot and hard, you might not not walk straight afterwards!!!"
"Telstar","Bushrocker Hi-Fi","undefined","Bushrocker is hosting Chris Griffiths AKA Telstar Funk and Soul, a Lancashire-based funk/Northern Soul vinyl DJ. Chris has monthly residencies in Preston and Manchester and plays the sounds of 60s and 70s US imports, twisted wheel stompers and casino classics."
"The Beat-Herder Parish Church's Saturday Sermon","The Parish Church","undefined","Repent your sins! Raise your voices, throw your knickers in the air and be absolved! With Reverend Rave, the Beat-herder Church Choir and the naughty nuns join our wonky congregation for singing, dancing and general misbehaviour.                                                  "
"The Beat-Herder Parish Church's Sunday Sermon","The Parish Church","undefined","Morning has broken, like the first morning, blackbird has spoken, ditch the hangover and praise the lord."
"The Cozy Club","The Illustrious Society","undefined","The Cozy Club is a collaboration of two musical minds to
create evening's of warm jazz infused house, in the setting of quirky, vibrant
cocktail bars. In addition Cozy clubs In house label is home to original music
produced by the duo & aimed at those laid back cozy vibes."
"The Notorious Coffee Morning with Reverend Rave, The Naughty Nuns and 'Christ Almighty' Choir","The Parish Church","undefined","with Reverend Rave, the Naughty Nuns and the 'Christ almighty!' Choir entertaining "
"The Religious Radish ","The Parish Church","undefined","Manchester veteran known in old school circles as Radish, dust off your Sunday shoes, don your best attire and prepare to get raving with oldskoolanthems!"
"Tomas Por Culo","Smoky Tentacles","undefined","The ass-man cometh! His last name means arse and that's because he'll get you shaking yours with his genre-busting sets. Costa Rican Tomas has got hip hop, funk, big beat and D&B out the, well, out the backside – there ought to be some booties bouncing at Smoky Tentacles when he cranks up the bass.               "
"Tropical Disco","The Snug","undefined","A welcome return to The Snug for these pure fire warriors. Bringing the midnight sunshine and hot Latin and Afro grooves to El Snugo. Exclusive cuts and remixes guaranteed!"
"Turntable Stan vs The Religious Radish","The Parish Church","undefined","*"
"Turtles Temptations","The Parish Church","undefined","The D&B Turtle himself will be scratching his way through a multi-genre set of bangers, taking in breaks, hip hop, D&B and jungle. Give in to temptation and you'll be as gone as a raptured Catholic!"
"UK Ponics","Bushrocker Hi-Fi","undefined","Calling themselves the Cultivators of Dub, the UKPonics crew have a professionally built, 5-way heavyweight roots/dub sound system that's beautifully finished with a crystal clear sound. Expect to feel it thud way down inside when selector Zam lets loose the heavy riddims."
"Uncle FUNK","The Snug","undefined","Uncle Funk is making a big noise down in South Wales, but that's mainly just his hip when he stands up too fast! A fantastic DJ with a tale for every occasion, The Snug welcomes him back."
"Z-1","The Perfumed Garden","undefined","Climb aboard the starship Z-1, a musical ark bound for countless uncharted realms in time and space. A live progressive journey through hazy psychedelia and hypnotic electronica, by turns meditative and propulsive. Fasten your seatbelts!                                                                            "
"Zuanella","The Illustrious Society","undefined","Zuanella is a member of the prominent female and gender
minority community Selextorhood, where their mission is to continually strive
to push for equality on the dance floor and beyond."
